fname,label,manually_verified
Dataset/Angry/OAF_back_angry_1.wav,Angry,1
Dataset/Angry/OAF_bar_angry_1.wav,Angry,1
Dataset/Angry/OAF_base_angry_1.wav,Angry,1
Dataset/Angry/OAF_bath_angry_1.wav,Angry,1
Dataset/Angry/OAF_bean_angry_1.wav,Angry,1
Dataset/Angry/OAF_beg_angry_1.wav,Angry,1
Dataset/Angry/OAF_bite_angry_1.wav,Angry,1
Dataset/Angry/OAF_boat_angry_1.wav,Angry,1
Dataset/Angry/OAF_bone_angry_1.wav,Angry,1
Dataset/Angry/OAF_book_angry_1.wav,Angry,1
Dataset/Angry/OAF_bought_angry_1.wav,Angry,1
Dataset/Angry/OAF_burn_angry_1.wav,Angry,1
Dataset/Angry/OAF_cab_angry_1.wav,Angry,1
Dataset/Angry/OAF_calm_angry_1.wav,Angry,1
Dataset/Angry/OAF_came_angry_1.wav,Angry,1
Dataset/Angry/OAF_cause_angry_1.wav,Angry,1
Dataset/Angry/OAF_chain_angry_1.wav,Angry,1
Dataset/Angry/OAF_chair_angry_1.wav,Angry,1
Dataset/Angry/OAF_chalk_angry_1.wav,Angry,1
Dataset/Angry/OAF_chat_angry_1.wav,Angry,1
Dataset/Angry/OAF_check_angry_1.wav,Angry,1
Dataset/Angry/OAF_cheek_angry_1.wav,Angry,1
Dataset/Angry/OAF_chief_angry_1.wav,Angry,1
Dataset/Angry/OAF_choice_angry_1.wav,Angry,1
Dataset/Angry/OAF_cool_angry_1.wav,Angry,1
Dataset/Angry/OAF_dab_angry_1.wav,Angry,1
Dataset/Angry/OAF_date_angry_1.wav,Angry,1
Dataset/Angry/OAF_dead_angry_1.wav,Angry,1
Dataset/Angry/OAF_death_angry_1.wav,Angry,1
Dataset/Angry/OAF_deep_angry_1.wav,Angry,1
Dataset/Angry/OAF_dime_angry_1.wav,Angry,1
Dataset/Angry/OAF_dip_angry_1.wav,Angry,1
Dataset/Angry/OAF_ditch_angry_1.wav,Angry,1
Dataset/Angry/OAF_dodge_angry_1.wav,Angry,1
Dataset/Angry/OAF_dog_angry_1.wav,Angry,1
Dataset/Angry/OAF_doll_angry_1.wav,Angry,1
Dataset/Angry/OAF_door_angry_1.wav,Angry,1
Dataset/Angry/OAF_fail_angry_1.wav,Angry,1
Dataset/Angry/OAF_fall_angry_1.wav,Angry,1
Dataset/Angry/OAF_far_angry_1.wav,Angry,1
Dataset/Angry/OAF_fat_angry_1.wav,Angry,1
Dataset/Angry/OAF_fit_angry_1.wav,Angry,1
Dataset/Angry/OAF_five_angry_1.wav,Angry,1
Dataset/Angry/OAF_food_angry_1.wav,Angry,1
Dataset/Angry/OAF_gap_angry_1.wav,Angry,1
Dataset/Angry/OAF_gas_angry_1.wav,Angry,1
Dataset/Angry/OAF_gaze_angry_1.wav,Angry,1
Dataset/Angry/OAF_germ_angry_1.wav,Angry,1
Dataset/Angry/OAF_get_angry_1.wav,Angry,1
Dataset/Angry/OAF_gin_angry_1.wav,Angry,1
Dataset/Angry/OAF_goal_angry_1.wav,Angry,1
Dataset/Angry/OAF_good_angry_1.wav,Angry,1
Dataset/Angry/OAF_goose_angry_1.wav,Angry,1
Dataset/Angry/OAF_gun_angry_1.wav,Angry,1
Dataset/Angry/OAF_half_angry_1.wav,Angry,1
Dataset/Angry/OAF_hall_angry_1.wav,Angry,1
Dataset/Angry/OAF_hash_angry_1.wav,Angry,1
Dataset/Angry/OAF_hate_angry_1.wav,Angry,1
Dataset/Angry/OAF_have_angry_1.wav,Angry,1
Dataset/Angry/OAF_haze_angry_1.wav,Angry,1
Dataset/Angry/OAF_hire_angry_1.wav,Angry,1
Dataset/Angry/OAF_hit_angry_1.wav,Angry,1
Dataset/Angry/OAF_hole_angry_1.wav,Angry,1
Dataset/Angry/OAF_home_angry_1.wav,Angry,1
Dataset/Angry/OAF_hurl_angry_1.wav,Angry,1
Dataset/Angry/OAF_hush_angry_1.wav,Angry,1
Dataset/Angry/OAF_jail_angry_1.wav,Angry,1
Dataset/Angry/OAF_jar_angry_1.wav,Angry,1
Dataset/Angry/OAF_join_angry_1.wav,Angry,1
Dataset/Angry/OAF_judge_angry_1.wav,Angry,1
Dataset/Angry/OAF_jug_angry_1.wav,Angry,1
Dataset/Angry/OAF_juice_angry_1.wav,Angry,1
Dataset/Angry/OAF_keen_angry_1.wav,Angry,1
Dataset/Angry/OAF_keep_angry_1.wav,Angry,1
Dataset/Angry/OAF_keg_angry_1.wav,Angry,1
Dataset/Angry/OAF_kick_angry_1.wav,Angry,1
Dataset/Angry/OAF_kill_angry_1.wav,Angry,1
Dataset/Angry/OAF_king_angry_1.wav,Angry,1
Dataset/Angry/OAF_kite_angry_1.wav,Angry,1
Dataset/Angry/OAF_knock_angry_1.wav,Angry,1
Dataset/Angry/OAF_late_angry_1.wav,Angry,1
Dataset/Angry/OAF_laud_angry_1.wav,Angry,1
Dataset/Angry/OAF_lean_angry_1.wav,Angry,1
Dataset/Angry/OAF_learn_angry_1.wav,Angry,1
Dataset/Angry/OAF_lease_angry_1.wav,Angry,1
Dataset/Angry/OAF_lid_angry_1.wav,Angry,1
Dataset/Angry/OAF_life_angry_1.wav,Angry,1
Dataset/Angry/OAF_limb_angry_1.wav,Angry,1
Dataset/Angry/OAF_live_angry_1.wav,Angry,1
Dataset/Angry/OAF_loaf_angry_1.wav,Angry,1
Dataset/Angry/OAF_long_angry_1.wav,Angry,1
Dataset/Angry/OAF_lore_angry_1.wav,Angry,1
Dataset/Angry/OAF_lose_angry_1.wav,Angry,1
Dataset/Angry/OAF_lot_angry_1.wav,Angry,1
Dataset/Angry/OAF_love_angry_1.wav,Angry,1
Dataset/Angry/OAF_luck_angry_1.wav,Angry,1
Dataset/Angry/OAF_make_angry_1.wav,Angry,1
Dataset/Angry/OAF_match_angry_1.wav,Angry,1
Dataset/Angry/OAF_merge_angry_1.wav,Angry,1
Dataset/Angry/OAF_mess_angry_1.wav,Angry,1
Dataset/Angry/OAF_met_angry_1.wav,Angry,1
Dataset/Angry/OAF_mill_angry_1.wav,Angry,1
Dataset/Angry/OAF_mob_angry_1.wav,Angry,1
Dataset/Angry/OAF_mode_angry_1.wav,Angry,1
Dataset/Angry/OAF_mood_angry_1.wav,Angry,1
Dataset/Angry/OAF_moon_angry_1.wav,Angry,1
Dataset/Angry/OAF_mop_angry_1.wav,Angry,1
Dataset/Angry/OAF_mouse_angry_1.wav,Angry,1
Dataset/Angry/OAF_nag_angry_1.wav,Angry,1
Dataset/Angry/OAF_name_angry_1.wav,Angry,1
Dataset/Angry/OAF_near_angry_1.wav,Angry,1
Dataset/Angry/OAF_neat_angry_1.wav,Angry,1
Dataset/Angry/OAF_nice_angry_1.wav,Angry,1
Dataset/Angry/OAF_note_angry_1.wav,Angry,1
Dataset/Angry/OAF_numb_angry_1.wav,Angry,1
Dataset/Angry/OAF_pad_angry_1.wav,Angry,1
Dataset/Angry/OAF_page_angry_1.wav,Angry,1
Dataset/Angry/OAF_pain_angry_1.wav,Angry,1
Dataset/Angry/OAF_pass_angry_1.wav,Angry,1
Dataset/Angry/OAF_pearl_angry_1.wav,Angry,1
Dataset/Angry/OAF_peg_angry_1.wav,Angry,1
Dataset/Angry/OAF_perch_angry_1.wav,Angry,1
Dataset/Angry/OAF_phone_angry_1.wav,Angry,1
Dataset/Angry/OAF_pick_angry_1.wav,Angry,1
Dataset/Angry/OAF_pike_angry_1.wav,Angry,1
Dataset/Angry/OAF_pole_angry_1.wav,Angry,1
Dataset/Angry/OAF_pool_angry_1.wav,Angry,1
Dataset/Angry/OAF_puff_angry_1.wav,Angry,1
Dataset/Angry/OAF_rag_angry_1.wav,Angry,1
Dataset/Angry/OAF_raid_angry_1.wav,Angry,1
Dataset/Angry/OAF_rain_angry_1.wav,Angry,1
Dataset/Angry/OAF_raise_angry_1.wav,Angry,1
Dataset/Angry/OAF_rat_angry_1.wav,Angry,1
Dataset/Angry/OAF_reach_angry_1.wav,Angry,1
Dataset/Angry/OAF_read_angry_1.wav,Angry,1
Dataset/Angry/OAF_red_angry_1.wav,Angry,1
Dataset/Angry/OAF_ring_angry_1.wav,Angry,1
Dataset/Angry/OAF_ripe_angry_1.wav,Angry,1
Dataset/Angry/OAF_road_angry_1.wav,Angry,1
Dataset/Angry/OAF_room_angry_1.wav,Angry,1
Dataset/Angry/OAF_rose_angry_1.wav,Angry,1
Dataset/Angry/OAF_rot_angry_1.wav,Angry,1
Dataset/Angry/OAF_rough_angry_1.wav,Angry,1
Dataset/Angry/OAF_rush_angry_1.wav,Angry,1
Dataset/Angry/OAF_said_angry_1.wav,Angry,1
Dataset/Angry/OAF_sail_angry_1.wav,Angry,1
Dataset/Angry/OAF_search_angry_1.wav,Angry,1
Dataset/Angry/OAF_seize_angry_1.wav,Angry,1
Dataset/Angry/OAF_sell_angry_1.wav,Angry,1
Dataset/Angry/OAF_shack_angry_1.wav,Angry,1
Dataset/Angry/OAF_shall_angry_1.wav,Angry,1
Dataset/Angry/OAF_shawl_angry_1.wav,Angry,1
Dataset/Angry/OAF_sheep_angry_1.wav,Angry,1
Dataset/Angry/OAF_shirt_angry_1.wav,Angry,1
Dataset/Angry/OAF_should_angry_1.wav,Angry,1
Dataset/Angry/OAF_shout_angry_1.wav,Angry,1
Dataset/Angry/OAF_size_angry_1.wav,Angry,1
Dataset/Angry/OAF_soap_angry_1.wav,Angry,1
Dataset/Angry/OAF_soup_angry_1.wav,Angry,1
Dataset/Angry/OAF_sour_angry_1.wav,Angry,1
Dataset/Angry/OAF_south_angry_1.wav,Angry,1
Dataset/Angry/OAF_sub_angry_1.wav,Angry,1
Dataset/Angry/OAF_such_angry_1.wav,Angry,1
Dataset/Angry/OAF_sure_angry_1.wav,Angry,1
Dataset/Angry/OAF_take_angry_1.wav,Angry,1
Dataset/Angry/OAF_talk_angry_1.wav,Angry,1
Dataset/Angry/OAF_tape_angry_1.wav,Angry,1
Dataset/Angry/OAF_team_angry_1.wav,Angry,1
Dataset/Angry/OAF_tell_angry_1.wav,Angry,1
Dataset/Angry/OAF_thin_angry_1.wav,Angry,1
Dataset/Angry/OAF_third_angry_1.wav,Angry,1
Dataset/Angry/OAF_thought_angry_1.wav,Angry,1
Dataset/Angry/OAF_thumb_angry_1.wav,Angry,1
Dataset/Angry/OAF_time_angry_1.wav,Angry,1
Dataset/Angry/OAF_tip_angry_1.wav,Angry,1
Dataset/Angry/OAF_tire_angry_1.wav,Angry,1
Dataset/Angry/OAF_ton_angry_1.wav,Angry,1
Dataset/Angry/OAF_tool_angry_1.wav,Angry,1
Dataset/Angry/OAF_tough_angry_1.wav,Angry,1
Dataset/Angry/OAF_turn_angry_1.wav,Angry,1
Dataset/Angry/OAF_vine_angry_1.wav,Angry,1
Dataset/Angry/OAF_voice_angry_1.wav,Angry,1
Dataset/Angry/OAF_void_angry_1.wav,Angry,1
Dataset/Angry/OAF_vote_angry_1.wav,Angry,1
